Topic,Count,Name,Representation,Representative_Docs
-1,4101,-1_diy_make_day_10,"['diy', 'make', 'day', '10', 'new', 'build', 'making', 'things', 'vs', 'easy']","['10 Things You SHOULD Be Buying at Costco in October 2022', '10 Things You SHOULD Be Buying at Costco in June 2023', '10 Things You SHOULD Be Buying at Aldi in April 2025']"
0,765,0_cooking_food_epicurious_chef,"['cooking', 'food', 'epicurious', 'chef', 'cook', 'chicken', 'nyt', 'nyt cooking', 'kenji', 'pizza']","[""How to Cook Artichokes | Kenji's Cooking Show"", 'Busting Thanksgiving Cooking Myths (How To Make The BEST Stuffing)', ""Alison Roman's Chicken Confit | NYT Cooking""]"
1,545,1_car_tesla_cars_engine,"['car', 'tesla', 'cars', 'engine', 'electric', 'verstappen', 'max verstappen', 'bike', 'bmw', 'drive']","['FERRARI V8-SWAPPED Subaru STI Rally Car', 'SCORING MY FIRST CAR COMMERCIAL!!', 'The VW XL1 is a Concept Car for the Public']"
2,487,2_iphone_review_apple_pro,"['iphone', 'review', 'apple', 'pro', 'ipad', 'pc', 'phone', 'samsung', 'gaming', 'galaxy']","['iPad Pro 2017 (10.5"") Review!', 'iPad Pro -VS- Samsung Galaxy Tab S10', ""iPhone 15 Pro Review - It's not a phone anymore..""]"
3,468,3_fat_workout_training_gym,"['fat', 'workout', 'training', 'gym', 'weight', 'diet', 'lose', 'body', 'loss', 'climbing']","['5 Minute Inner + Outer Thigh Workout | Leg Fat Burner!', 'The Best HIIT Workout to Lose Fat (At Home)', 'How to do Cardio for Fat Loss ➟ Best Cardio Workout to Burn BELLY FAT Form of Cardio for Weight Loss']"
4,393,4_money_000_business_rich,"['money', '000', 'business', 'rich', 'market', 'money works', 'stock', 'works', 'make money', 'make']","['Why Everyone SEEMS to Have More Money Than You', 'How To (Semi) Legally Launder Money', 'I Definitely Voided my Warranty || Are you Wasting Money?']"
5,349,5_life_changing_books_habits,"['life', 'changing', 'books', 'habits', 'people', 'study', 'college', 'read', 'lessons', 'stop']","['10 Life-Changing Lessons from The Untethered Soul by Michael Singer', 'My goal in life', '5 life-changing books you must read in 2025']"
6,332,6_space_spacex_rocket_rc,"['space', 'spacex', 'rocket', 'rc', 'launch', 'watch', 'nasa', 'flight', 'rockets', 'airplane']","[""Fiery Test Failure Delays Rocket Builder's Debut Launch. What Do We Know about ABL Space?"", 'Watch SpaceX launch its Falcon 9 Rocket from Vandenberg AFB in California!', 'SpaceX Launch The DART Spacecraft to Avenge The Dinosaurs & Other Deep Space Updates']"
7,246,7_table_wood_woodworking_wooden,"['table', 'wood', 'woodworking', 'wooden', 'diy', 'furniture', 'unique', 'chair', 'dining', 'ideas']","['DIY Knock Down Stool or Side Table // Easy Woodworking Joinery // Mortise and Tenon // DIY Project', 'How To Build A Farmhouse Table and Benches For $250 | Woodworking DIY', 'From Trash to Treasure: Crafting a One-of-a-Kind Wood Table with Artistic Flair']"
8,246,8_guitar_song_music_songs,"['guitar', 'song', 'music', 'songs', 'rock', 'rob', 'sound', 'interview', 'reacts', 'play']","['I met JIMMY PAGE (and played his 50k guitar!)', 'Harmonics Guitar Lesson', ""Genesis' Greatest Non-Guitar Guitar Song""]"
9,199,9_camera_sony_lens_studio,"['camera', 'sony', 'lens', 'studio', 'cd', 'ii', 'sound', 'vs', 'review', 'audio']","['RIP GIMBALS - Which Camera Has The Smoothest Footage?', 'Camera Gantry System', 'this camera is Sony’s Answer to the BMPCC']"
10,174,10_art_paint_painting_drawing,"['art', 'paint', 'painting', 'drawing', 'draw', 'pencil', 'artist', 'realistic', 'tutorial', 'improve']","['Drawing Joe Exotic in 9 Different Art Styles', 'Drawing Painting and Sculpting - Colorblind?!', 'How I Paint Environment Concept Art ( Digital Painting Tutorial )']"
11,135,11_youtube_youtubers_video_channel,"['youtube', 'youtubers', 'video', 'channel', 'youtuber', 'videos', '000', 'giveaway', 'internet', 'biggest']","['How To Add Links to Your YouTube Channel', 'YouTube Loyalty', 'Best YouTube Channels for Filmmakers']"
12,131,12_3d_printing_printer_3d printing,"['3d', 'printing', 'printer', '3d printing', '3d printed', 'printed', '3d printer', 'bambu', 'bambu lab', 'resin']","['We made a Treadmill into a 3D printer!! - w/ Proper Printing', '3D Printing Your Childhood - 3D Printed Toys!', 'How To Use A 3D Printer In Your Workshop / 3D Printing Tools and Templates / Ender 3 V2 /Woodworking']"
13,130,13_minecraft_hacks_tricks_card,"['minecraft', 'hacks', 'tricks', 'card', 'revealed', 'magic', 'things', 'mod', 'trick', '25']","['One Fact About All 79 Minecraft Mobs', 'Every Feature Mojang Removed From Minecraft (And Why)', 'The Weirdest Minecraft Farms']"
14,118,14_making_armor_damascus_metal,"['making', 'armor', 'damascus', 'metal', 'steel', 'cosplay', 'ring', 'sword', 'iron', 'knife']","['Making BRONZE Megalodon teeth │ Metal Fossils', 'Making a Socket Wrench from Damascus Steel! Part 4', 'Making a METEORITE GLOW ring with Damascus Steel!']"
